DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,PRICE_CHANGE,DAILY_RETURN_%,SMA_5,SMA_20,EMA_10,VOLATILITY_10D_%,ROLLING_HIGH_20,DRAWDOWN_%
2026-07-28,EQ,1275.0,1279.2,1265.9,1280.0,1271.7,1267.7,1271.03,1611.8,1249.8,9312184,11836095240.8,233124,-12.299999999999955,-0.960937499999992,1277.3,1296.56,1287.0414462794797,1.1357517258075047,1327.2,-4.877316725444592
2026-07-29,EQ,1275.0,1282.4,1268.7,1267.7,1277.1,1275.9,1275.55,1611.8,1249.8,9448307,12051805840.6,193119,8.200000000000045,0.6468407351897243,1274.7599999999998,1294.955,1285.0157287741197,1.161591532077571,1327.2,-4.262024461619262
2026-07-30,EQ,1279.8,1297.0,1275.3,1275.9,1289.4,1292.9,1290.41,1611.8,1249.8,12158451,15689434967.6,209491,17.0,1.3323928207539693,1278.9,1294.425,1286.4492326333705,1.2526008029221534,1327.2,-2.9864185488106765
2026-07-31,EQ,1295.0,1309.7,1293.6,1292.9,1305.0,1307.8,1303.09,1611.8,1249.8,8624996,11239164495.9,142746,14.899999999999864,1.1524479851496627,1284.8600000000001,1294.615,1290.331190336394,1.0371800631611745,1327.2,-1.8683874840549342
2026-08-03,EQ,1315.2,1319.0,1306.0,1307.8,1319.0,1319.0,1311.09,1611.8,1249.8,7508023,9843685449.4,158782,11.200000000000045,0.8564000611714473,1292.66,1294.5,1295.5437011843221,1.0809213229681023,1327.2,-1.0279882944398633
2026-08-04,EQ,1315.0,1315.0,1286.4,1319.0,1290.9,1290.9,1296.35,1611.8,1249.8,10759546,13948179020.5,216789,-28.09999999999991,-2.130401819560268,1297.3,1293.625,1294.6993918780818,1.193775408680638,1327.2,-3.1364898326705193
2026-08-05,EQ,1293.0,1299.0,1270.1,1290.9,1280.0,1280.0,1280.84,1611.8,1249.8,24820782,31791472335.4,355243,-10.900000000000091,-0.8443721434658102,1298.1200000000001,1293.8300000000002,1292.026775172976,1.1664452726037033,1327.2,-3.9543783297066093
2026-08-06,EQ,1285.0,1325.2,1281.2,1280.0,1325.0,1325.0,1313.24,1611.8,1249.8,20342297,26714270356.2,279507,45.0,3.515625,1304.54,1296.09,1298.0219069597076,1.5374797939081322,1327.2,-0.5777744428603571
2026-08-07,EQ,1320.0,1337.0,1316.6,1325.0,1334.8,1334.8,1329.09,1611.8,1249.8,9885638,13138878797.8,161575,9.799999999999955,0.7396226415094409,1309.94,1297.44,1304.7088329670335,1.54087022885046,1334.8,0.0
2026-08-10,EQ,1330.1,1332.9,1321.3,1334.8,1327.3,1327.3,1326.94,1611.8,1249.8,8207102,10890305339.4,160982,-7.5,-0.5618819298771394,1311.6,1298.96,1308.816317882118,1.572313457800718,1334.8,-0.5618819298771394
2026-08-11,EQ,1326.6,1328.7,1314.1,1327.3,1323.9,1323.9,1322.58,1611.8,1249.8,9953124,13163770084.2,121384,-3.3999999999998636,-0.2561591200180735,1318.2,1300.505,1311.5588055399146,1.5207486868367408,1334.8,-0.8166017380880963
2026-08-12,EQ,1323.9,1329.0,1309.2,1323.9,1329.0,1329.0,1316.33,1611.8,1249.8,7901012,10400335523.9,129875,5.099999999999909,0.38522547020167774,1328.0,1302.18,1314.7299318053847,1.519141024837992,1334.8,-0.4345220257716442
2026-08-13,EQ,1327.8,1327.8,1307.2,1329.0,1317.0,1317.0,1313.84,1611.8,1249.8,9397301,12346553928.4,147799,-12.0,-0.9029345372460473,1326.4,1303.2,1315.1426714771328,1.5341725414258065,1334.8,-1.3335331135750694
2026-08-14,EQ,1317.0,1317.5,1301.5,1317.0,1310.0,1310.0,1308.27,1611.8,1249.8,10497358,13733404720.5,138435,-7.0,-0.5315110098709219,1321.44,1302.34,1314.2076402994724,1.5096692494100177,1334.8,-1.8579562481270573
2026-08-17,EQ,1314.0,1320.8,1298.1,1310.0,1316.0,1316.0,1308.63,1611.8,1249.8,13383867,17514489451.0,208057,6.0,0.45801526717557106,1319.1799999999998,1301.9850000000001,1314.5335238813864,1.4904838503115516,1334.8,-1.4084507042253502
2026-08-18,EQ,1314.0,1328.6,1311.2,1316.0,1322.0,1322.0,1322.76,1611.8,1249.8,10180567,13466467033.1,198021,6.0,0.45592705167172287,1318.8,1302.9,1315.8910649938616,1.2936097760824272,1334.8,-0.9589451603236432
2026-08-19,EQ,1320.3,1321.6,1303.5,1322.0,1311.0,1311.0,1312.86,1611.8,1249.8,7489365,9832451637.5,160390,-11.0,-0.8320726172465931,1315.2,1304.02,1315.0017804495233,1.2924634666778059,1334.8,-1.7830386574767765
2026-08-20,EQ,1315.5,1316.5,1307.0,1311.0,1313.2,1313.2,1312.27,1611.8,1249.8,5546227,7278168655.0,125718,2.2000000000000455,0.16781083142638487,1314.44,1306.0700000000002,1314.6741840041552,0.5995957531827966,1334.8,-1.618219958046141
2026-08-21,EQ,1314.0,1316.0,1308.0,1313.2,1316.0,1316.0,1311.2,1611.8,1249.8,5434871,7126221067.3,92200,2.7999999999999545,0.2132196162046851,1315.64,1307.97,1314.915241457945,0.5389201753997626,1334.8,-1.4084507042253502
2026-08-24,EQ,1316.6,1320.0,1302.4,1316.0,1309.8,1309.8,1307.91,1611.8,1249.8,7277167,9517855656.3,135944,-6.2000000000000455,-0.47112462006079214,1314.4,1309.46,1313.9851975565005,0.531750695503894,1334.8,-1.87293976625712
2026-08-25,EQ,1304.3,1317.1,1300.0,1309.8,1317.0,1317.0,1305.89,1611.8,1249.8,7115355,9291891624.7,104584,7.2000000000000455,0.5497022446175004,1313.4,1311.925,1314.5333434553186,0.5703955272388126,1334.8,-1.3335331135750694
2026-08-26,EQ,1310.0,1315.6,1298.0,1317.0,1298.0,1298.0,1305.66,1611.8,1249.8,5744474,7500340576.2,99432,-19.0,-1.4426727410782103,1310.8,1313.0300000000002,1311.527281008897,0.6945281416415875,1334.8,-2.7569673359304714
2026-08-27,EQ,1305.0,1308.4,1282.2,1298.0,1282.2,1282.2,1292.18,1611.8,1249.8,11271497,14564825828.9,218067,-15.799999999999955,-1.2172573189522362,1304.6,1312.4950000000001,1306.1950480981884,0.7341692033220918,1334.8,-3.940665268204968
2026-08-28,EQ,1284.9,1291.8,1280.0,1282.2,1287.0,1287.0,1284.52,1611.8,1249.8,6830228,8773545135.7,166675,4.7999999999999545,0.3743565746373356,1298.8,1311.4550000000002,1302.705039353063,0.7532685979022304,1334.8,-3.5810608330836047
2026-08-31,EQ,1278.7,1297.6,1271.0,1287.0,1277.0,1277.0,1278.43,1611.8,1249.8,34871137,44580283834.5,244866,-10.0,-0.7770007770007803,1292.2400000000002,1309.355,1298.0313958343243,0.7391700110818558,1334.8,-4.330236739586457
2026-09-01,EQ,1285.0,1311.8,1280.0,1277.0,1309.0,1309.0,1299.72,1611.8,1249.8,12617528,16399280651.7,187471,32.0,2.5058731401722767,1290.64,1310.26,1300.0256875008106,1.1445550939292006,1334.8,-1.932873838777338
